name	charge	inchikey
N-Acetyl-L-glutamyl 5-phosphate	-4	FCVIHFVSXHOPSW-YFKPBYRVSA-N
N-Acetyl-L-glutamate 5-semialdehyde	-2	BCPSFKBPHHBDAI-LURJTMIESA-N
Acetylornithine	-1	JRLGPAXAGHMNOL-LURJTMIESA-N|JRLGPAXAGHMNOL-LURJTMIESA-N
Ornithine	1	AHLPHDHHMVZTML-BYPYZUCNSA-N
Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
Carbamoyl phosphate	-3	FFQKYPRQEYGKAF-UHFFFAOYSA-N
Citrulline	1	RHGKLRLOHDJJDR-BYPYZUCNSA-N
Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N|CKLJMWTZIZZHCS-REOHCLBHSA-L|CKLJMWTZIZZHCS-REOHCLBHSA-M
Argininosuccinate	-1	KDZOASGQNOPSCU-WDSKDSINSA-N
Arginine	1	ODKSFYDXXFIFQN-BYPYZUCNSA-N
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L|VZCYOOQTPOCHFL-OWOJBTEDSA-N
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L|VZCYOOQTPOCHFL-OWOJBTEDSA-N
Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N|CKLJMWTZIZZHCS-REOHCLBHSA-L|CKLJMWTZIZZHCS-REOHCLBHSA-M
Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M
Asparagine	0	DCXYFEDJOCDNAF-REOHCLBHSA-N
Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N|CKLJMWTZIZZHCS-REOHCLBHSA-L|CKLJMWTZIZZHCS-REOHCLBHSA-M
Aspartate	-1	CKLJMWTZIZZHCS-REOHCLBHSA-N|CKLJMWTZIZZHCS-REOHCLBHSA-L|CKLJMWTZIZZHCS-REOHCLBHSA-M
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
O-Acetyl-L-serine	0	VZXPDPZARILFQX-BYPYZUCNSA-N
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
