Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
RXN-20384	CARBON-DIOXIDE	EC-2.3.1.199				RXN-20384			
RXN-20386	CARBON-DIOXIDE	EC-2.3.1.199				RXN-20386			
RXN-16082	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119830</a>		PWY-7606	RXN-16082			
RXN-20385	CARBON-DIOXIDE	EC-2.3.1.199				RXN-20385			
RXN-15103	CARBON-DIOXIDE	EC-2.3.1.239	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110263</a>		PWY-7422	RXN-15103			
RXN-15105	CARBON-DIOXIDE	EC-2.3.1.240	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110264</a>		PWY-7421	RXN-15105			
RXN-7697	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122003</a>		PWY-5080	RXN-7697			
RXN-16081	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119829</a>		PWY-7726	RXN-16081			
RXN-13441	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118083</a>		PWY-7724 // PWY-7602 // PWY-7619	RXN-13441			
RXN66-613	CARBON-DIOXIDE	EC-2.3.1.86 // EC-2.3.1.85			PWY-5966-1	RXN66-613			
RXN-16079	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119827</a>		PWY-7726	RXN-16079			
RXN-13295	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118001</a>		PWY-7036	RXN-13295			
RXN-20332	CARBON-DIOXIDE	EC-2.3.1.199			PWY-8041	RXN-20332			
RXN-16153	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119895</a>		PWY-6433	RXN-16153			
RXN-13297	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103458</a>		PWY-7036	RXN-13297			
RXN-20344	CARBON-DIOXIDE	EC-2.3.1.199			PWY-8041	RXN-20344			
RXN-12777	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117744</a>		PWY-7592	RXN-12777			
MALONYL-COA-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR101412</a>		PWY-7485 // RXN-15677	MALONYL-COA-DECARBOXYLASE-RXN			
RXN-9646	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122920</a>			RXN-9646			
RXN-13296	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118002</a>		PWY-7036	RXN-13296			
RXN-16094	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119842</a>		PWY-7725 // PWY-6598	RXN-16094			
RXN-9647	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122921</a>			RXN-9647			
RXN-21108	CARBON-DIOXIDE				PWY-8117	RXN-21108			
RXN-20336	CARBON-DIOXIDE	EC-2.3.1.199			PWY-8041	RXN-20336			
RXN-13322	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118023</a>		PWY-7035 // PWY-6433	RXN-13322			
RXN-9543	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR94939</a>		PWY-5972	RXN-9543			
RXN-14492	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118715</a>		PWY-6433	RXN-14492			
RXN-16019	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119776</a>		PWY-7049	RXN-16019			
RXN-13294	CARBON-DIOXIDE	EC-2.3.1.199	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103450</a>		PWY-7036	RXN-13294			
RXN-20348	CARBON-DIOXIDE	EC-2.3.1.199			PWY-8041	RXN-20348			
RXN-20340	CARBON-DIOXIDE	EC-2.3.1.199			PWY-8041	RXN-20340			
DIAMINOPIMDECARB-RXN	CARBON-DIOXIDE	EC-4.1.1.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR97141</a>		DAPLYSINESYN-PWY // PWY-2941 // PWY-2942 // PWY-5097	DIAMINOPIMDECARB-RXN			
3.5.3.21-RXN	CARBON-DIOXIDE	EC-3.5.3.21	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109370</a>			3.5.3.21-RXN			
RXN-7746	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR106780</a>		PWY-5103	RXN-7746			
RXN-20740	CARBON-DIOXIDE	EC-1.14.11.71			PWY-8066	RXN-20740			
RXN-21373	CARBON-DIOXIDE	EC-3.5.1.M21 // EC-3.5.1.M20				RXN-21373			
RXN-21370	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21370			
RXN-21374	CARBON-DIOXIDE	EC-3.5.1.M21 // EC-3.5.1.M20				RXN-21374			
RXN-14720	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118871</a>		PWY-7926	RXN-14720			
RXN-21371	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21371			
RXN-7982	CARBON-DIOXIDE	EC-1.14.11.25	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110877</a>		PWY-5925	RXN-7982			
RXN-21131	CARBON-DIOXIDE				PWY-8117	RXN-21131			
RXN-21130	CARBON-DIOXIDE				PWY-8117	RXN-21130			
RXN-21126	CARBON-DIOXIDE				PWY-8117	RXN-21126			
RXN-21116	CARBON-DIOXIDE				PWY-8117	RXN-21116			
3.5.1.64-RXN	CARBON-DIOXIDE	EC-3.5.1.64	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107574</a>			3.5.1.64-RXN			
RXN-13025	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117866</a>		RXNQT-4311	RXN-13025			
RXN-13023	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117864</a>		RXNQT-4310	RXN-13023			
RXN-13020	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117861</a>		RXNQT-4309	RXN-13020			
RXN-9639	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR113414</a>		PWY-5990 // 1.14.13.117-RXN	RXN-9639			
RXN-20909	CARBON-DIOXIDE				PWY-8081 // RXN-20853	RXN-20909			
RXN-12068	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR112998</a>		PWY-2821 // PWY-7824 // RXN-4602	RXN-12068			
RXN-7749	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR110880</a>		PWY-7901 // PWY-7088 // PWY-861 // RXN-13187	RXN-7749			
RXN-5065	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR113418</a>		PWY-3022 // 1.14.13.118-RXN	RXN-5065			
RXN-12991	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117839</a>		RXNQT-4313	RXN-12991			
RXN-13016	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR143841</a>		RXN-2206	RXN-13016			
RXN-13005	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117850</a>		RXNQT-4312	RXN-13005			
RXN-20871	CARBON-DIOXIDE	EC-1.14.11			PWY-8083	RXN-20871			
RXN-13200	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR109372</a>	T	3.5.3.21-RXN	RXN-13200			
N-BENZYLOXYCARBONYLGLYCINE-HYDROLASE-RXN	CARBON-DIOXIDE	EC-3.5.1.58	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107573</a>			N-BENZYLOXYCARBONYLGLYCINE-HYDROLASE-RXN			
UREIDOSUCCINASE-RXN	CARBON-DIOXIDE	EC-3.5.1.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106552</a>			UREIDOSUCCINASE-RXN			
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	CARBON-DIOXIDE	EC-3.5.1.53	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96800</a>		PWY-43	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN			
N-CARBAMOYLSARCOSINE-AMIDASE-RXN	CARBON-DIOXIDE	EC-3.5.1.59	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107053</a>		PWY-4722	N-CARBAMOYLSARCOSINE-AMIDASE-RXN			
RXN-19542	CARBON-DIOXIDE	EC-3.5.1.133				RXN-19542			
RXN-20905	CARBON-DIOXIDE	EC-1.14.11				RXN-20905			
2.3.1.159-RXN	CARBON-DIOXIDE	EC-2.3.1.159	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110934</a>		PWY-5958	2.3.1.159-RXN			
PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.30	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103047</a>			PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN			
RXN-13340	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118030</a>		PWY-7040	RXN-13340			
RXN0-984	CARBON-DIOXIDE	EC-1.14.11.33	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123422</a>			RXN0-984			
RXN-12063	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR113001</a>	T	CAMALEXIN-SYN // PWY-8024 // PWY-581 // PWY-601 // RXN-1402	RXN-12063			
SUCCARGDIHYDRO-RXN	CARBON-DIOXIDE	EC-3.5.3.23	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104239</a>		AST-PWY	SUCCARGDIHYDRO-RXN			
TRIMETHYLLYSINE-DIOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.14.11.8	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108181</a>		PWY-6100	TRIMETHYLLYSINE-DIOXYGENASE-RXN			
RXN-12662	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117682</a>		PWY-6919	RXN-12662			
RXN-12663	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117683</a>		PWY-6919	RXN-12663			
RXN-20186	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20186			
RXN-15580	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR119462</a>		CARBAMOYL-SERINE-AMMONIA-LYASE-RXN	RXN-15580			
CARBAMOYL-SERINE-AMMONIA-LYASE-RXN	CARBON-DIOXIDE	EC-4.3.1.13	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106434</a>			CARBAMOYL-SERINE-AMMONIA-LYASE-RXN			
RXN-11608	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117044</a>		PWY-6574	RXN-11608			
RXN-14460	CARBON-DIOXIDE	EC-6.3.3.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113809</a>		PWY-7274	RXN-14460			
RXN-15324	CARBON-DIOXIDE	EC-4.1.99	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119282</a>			RXN-15324			
RXN-17711	CARBON-DIOXIDE	EC-2.3.1.230	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121107</a>			RXN-17711			
RXN-17715	CARBON-DIOXIDE	EC-2.3.1.230	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121111</a>			RXN-17715			
RXN-22746	CARBON-DIOXIDE	EC-2.3.1			PWY-8326 // RXN-22747	RXN-22746			
RXN-13613	CARBON-DIOXIDE	EC-2.3.1.207	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113538</a>		PWY-7094	RXN-13613			
RXN-20185	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20185			
RXN-13255	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117976</a>			RXN-13255			
RXN-8151	CARBON-DIOXIDE	EC-1.14.11.31	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108351</a>		PWY-5270	RXN-8151			
OROTPDECARB-RXN	CARBON-DIOXIDE	EC-4.1.1.23	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102190</a>		PWY-7790 // PWY-7791	OROTPDECARB-RXN			
ORSELLINATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.58	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107760</a>			ORSELLINATE-DECARBOXYLASE-RXN			
RXN-12077	CARBON-DIOXIDE	EC-1.2.7.10	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112908</a>		PWY-6694	RXN-12077			
OXALATE-OXIDASE-RXN	CARBON-DIOXIDE	EC-1.2.3.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106446</a>		PWY-6697	OXALATE-OXIDASE-RXN			
OXALATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.2	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102233</a>		PWY-6698	OXALATE-DECARBOXYLASE-RXN			
RXN-19736	CARBON-DIOXIDE	EC-7.2.4.2				RXN-19736			
PEPCARBOXYKIN-RXN	CARBON-DIOXIDE	EC-4.1.1.49	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103099</a>		PWY-7117 // GLUCONEO-PWY // PWY-561	PEPCARBOXYKIN-RXN			
4.1.1.38-RXN	CARBON-DIOXIDE	EC-4.1.1.38	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106483</a>			4.1.1.38-RXN			
4.1.1.32-RXN	CARBON-DIOXIDE	EC-4.1.1.32	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102487</a>		PWY-7383 // PWY66-399	4.1.1.32-RXN			
OXALODECARB-RXN	CARBON-DIOXIDE	EC-4.1.1.112	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102097</a>		1.1.1.39-RXN // MALIC-NADP-RXN // PWY-6339 // METHYLGALLATE-DEGRADATION-PWY // P184-PWY	OXALODECARB-RXN			
RXN-12481	CARBON-DIOXIDE	EC-4.1.1.32	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106653</a>		PWY-7383	RXN-12481			
RXN-8642	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR105305</a>		ISOCITDEH-RXN	RXN-8642			
OXALYL-COA-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.8	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102239</a>		PWY-7985	OXALYL-COA-DECARBOXYLASE-RXN			
RXN-22495	CARBON-DIOXIDE	EC-3.5.1.137				RXN-22495			
FATTY-ACID-PEROXIDASE-RXN	CARBON-DIOXIDE	EC-1.11.1.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107133</a>			FATTY-ACID-PEROXIDASE-RXN			
RXN-19211	CARBON-DIOXIDE	EC-4.1.1.106				RXN-19211			
RXN-13254	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117975</a>			RXN-13254			
RXN-17257	CARBON-DIOXIDE	EC-2.3.1.M8	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120785</a>			RXN-17257			
SERINE-C-PALMITOYLTRANSFERASE-RXN	CARBON-DIOXIDE	EC-2.3.1.50	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104347</a>		SPHINGOLIPID-SYN-PWY	SERINE-C-PALMITOYLTRANSFERASE-RXN			
1.14.20.1-RXN	CARBON-DIOXIDE	EC-1.14.20.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109465</a>		PWY-5631	1.14.20.1-RXN			
RXN-13751	CARBON-DIOXIDE	EC-1.14.11.36	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113513</a>			RXN-13751			
RXN-12660	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR113511</a>		RXN-13751 // PWY-6915	RXN-12660			
RXN-12655	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113512</a>		RXN-13751 // PWY-6915	RXN-12655			
RXN-20182	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20182			
RXN-17175	CARBON-DIOXIDE	EC-1.14.13.218	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114870</a>			RXN-17175			
RXN-20391	CARBON-DIOXIDE	EC-4.1.1.119				RXN-20391			
PHENGLYOXRED-RXN	CARBON-DIOXIDE	EC-1.2	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116120</a>		PWY-1341	PHENGLYOXRED-RXN			
1.2.1.58-RXN	CARBON-DIOXIDE	EC-1.2.1.58	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107514</a>			1.2.1.58-RXN			
BENZOYLFORMATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107162</a>		PWY-8161 // PWY-1501	BENZOYLFORMATE-DECARBOXYLASE-RXN			
3.1.1.82-RXN	CARBON-DIOXIDE	EC-3.1.1.82	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139663</a>		PWY-5098	3.1.1.82-RXN			
RXN-15545	CARBON-DIOXIDE	EC-4.1.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119436</a>		PWY-7510	RXN-15545			
RXN-17526	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR120976</a>	T		RXN-17526			
1.14.11.18-RXN	CARBON-DIOXIDE	EC-1.14.11.18	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109782</a>			1.14.11.18-RXN			
RXN-2541	CARBON-DIOXIDE	EC-2.5.1.115	<a href='https://www.metanetx.org/equa_info/~A'>MNXR100629</a>		PWY-1422	RXN-2541			
7KAPSYN-RXN	CARBON-DIOXIDE	EC-2.3.1.47	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95854</a>		PWY-6578	7KAPSYN-RXN			
RXN-21593	CARBON-DIOXIDE	EC-2.3.1			PWY-8166	RXN-21593			
RXN-22921	CARBON-DIOXIDE	EC-2.3.1			PWY-8343	RXN-22921			
RXN-13383	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118056</a>		PWY-7045	RXN-13383			
3.1.1.78-RXN	CARBON-DIOXIDE	EC-3.1.1.78	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109863</a>		PWY-5301	3.1.1.78-RXN			
RXN-16086	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119834</a>		PWY-7599	RXN-16086			
RXN-20851	CARBON-DIOXIDE	EC-1.14.11			PWY-8080	RXN-20851			
RXN-20852	CARBON-DIOXIDE	EC-1.14.11			PWY-8080	RXN-20852			
RXN-13384	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118057</a>	T	PWY-7045	RXN-13384			
RXN-21990	CARBON-DIOXIDE					RXN-21990			
RXN-16263	CARBON-DIOXIDE	EC-4.1.1.100	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114243</a>		PWY-7626	RXN-16263			
PREPHENATEDEHYDRAT-RXN	CARBON-DIOXIDE	EC-4.2.1.51	<a href='https://www.metanetx.org/equa_info/~A'>MNXR126086</a>		PWY-7432	PREPHENATEDEHYDRAT-RXN			
PREPHENATEDEHYDROG-RXN	CARBON-DIOXIDE	EC-1.3.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103121</a>		PWY-7303 // TYRSYN	PREPHENATEDEHYDROG-RXN			
PREPHENATE-DEHYDROGENASE-NADP+-RXN	CARBON-DIOXIDE	EC-1.3.1.13	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103122</a>			PREPHENATE-DEHYDROGENASE-NADP+-RXN			
RXN-6266	CARBON-DIOXIDE	EC-1.14.11.21	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109610</a>		PWY-5679	RXN-6266			
ERYTHRONOLIDE-SYNTHASE-RXN	CARBON-DIOXIDE	EC-2.3.1.94	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106751</a>		PWY-7106	ERYTHRONOLIDE-SYNTHASE-RXN			
RXN-14846	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118967</a>		PWY-7352	RXN-14846			
RXN-22493	CARBON-DIOXIDE	EC-3.5.1.137				RXN-22493			
RXN-19114	CARBON-DIOXIDE	EC-1.14.19.55				RXN-19114			
PROTOCATECHUATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.63	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106706</a>			PROTOCATECHUATE-DECARBOXYLASE-RXN			
RXN-13346	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118034</a>	T	PWY-7040	RXN-13346			
RXN-13347	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118035</a>	T	PWY-7040	RXN-13347			
RXN-16832	CARBON-DIOXIDE	EC-4.1.1.60	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120419</a>			RXN-16832			
RXN-12388	CARBON-DIOXIDE	EC-4.1.1.93	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113198</a>			RXN-12388			
RXN-15772	CARBON-DIOXIDE	EC-2.2.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119605</a>			RXN-15772			
RXN-15771	CARBON-DIOXIDE	EC-2.2.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119604</a>			RXN-15771			
RXN-15770	CARBON-DIOXIDE	EC-2.2.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119603</a>			RXN-15770			
PYRUFLAVREDUCT-RXN	CARBON-DIOXIDE	EC-1.2.7.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103066</a>		PWY-8303 // PWY-5493 // P23-PWY // PWY-5392	PYRUFLAVREDUCT-RXN			
RXN-15773	CARBON-DIOXIDE	EC-2.2.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119606</a>			RXN-15773			
ACETOOHBUTSYN-RXN	CARBON-DIOXIDE	EC-2.2.1.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95260</a>		ILEUSYN-PWY // PWY-5101 // PWY-5103 // PWY-5104	ACETOOHBUTSYN-RXN			
RXN-11496	CARBON-DIOXIDE	EC-1.2.5.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116976</a>		PWY-7544 // PWY-7545	RXN-11496			
RXN0-1134	CARBON-DIOXIDE	EC-1.2.4.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123105</a>		PYRUVDEHYD-PWY // PYRUVDEH-RXN	RXN0-1134			
RXN0-2022	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR123129</a>		PWY3O-440	RXN0-2022			
RXN-15768	CARBON-DIOXIDE	EC-2.2.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119602</a>			RXN-15768			
RXN-15766	CARBON-DIOXIDE	EC-2.2.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119600</a>			RXN-15766			
RXN-15767	CARBON-DIOXIDE	EC-2.2.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119601</a>			RXN-15767			
PYFLAVOXRE-RXN	CARBON-DIOXIDE	EC-1.2.7.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102515</a>			PYFLAVOXRE-RXN			
PYRUVATE-OXIDASE-COA-ACETYLATING-RXN	CARBON-DIOXIDE	EC-1.2.3.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106433</a>			PYRUVATE-OXIDASE-COA-ACETYLATING-RXN			
PYRUVDEH-RXN	CARBON-DIOXIDE	EC-1.2.1.104	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102425</a>		PWY-7384 // PWY-7218 // PWY-6886 // GLYCOLYSIS-TCA-GLYOX-BYPASS // PWY-5537 // PWY-5482	PYRUVDEH-RXN			
PYRUVATE-DEHYDROGENASE-NADP+-RXN	CARBON-DIOXIDE	EC-1.2.1.51	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106432</a>		PWY-6970	PYRUVATE-DEHYDROGENASE-NADP+-RXN			
DXS-RXN	CARBON-DIOXIDE	EC-2.2.1.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR97831</a>		PWY-6892 // PWY-6891	DXS-RXN			
RXN-10065	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116304</a>			RXN-10065			
RXN-6161	CARBON-DIOXIDE	EC-4.1.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103379</a>		RXN0-2022 // PWY-6873 // PWY-6330 // PWY3O-440 // PWY-5768 // PWY-5486	RXN-6161			
1.2.3.3-RXN	CARBON-DIOXIDE	EC-1.2.3.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106431</a>			1.2.3.3-RXN			
RXN-12583	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR102428</a>		RXN-22435 // RXN0-1134	RXN-12583			
RXN-15769	CARBON-DIOXIDE	EC-2.2.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114440</a>		PWY-7547	RXN-15769			
RXN-15774	CARBON-DIOXIDE	EC-2.2.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119607</a>			RXN-15774			
RXN-11496-YEAST	CARBON-DIOXIDE	EC-1.2.5.1				RXN-11496-YEAST			
RXN-20251	CARBON-DIOXIDE				RXN-20302	RXN-20251			
RXN-20298	CARBON-DIOXIDE	EC-4.1.1			PWY-8037	RXN-20298			
RXN-15718	CARBON-DIOXIDE	EC-2.3.1.244	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119565</a>		PWY-7535	RXN-15718			
RXN-15894	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119691</a>		PWY-7563	RXN-15894			
2.3.1.161-RXN	CARBON-DIOXIDE	EC-2.3.1.161	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115068</a>		PWY-7535	2.3.1.161-RXN			
RXN-16825	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120412</a>		PWY-7687	RXN-16825			
RXN-14516	CARBON-DIOXIDE	EC-4.1.3.44	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118736</a>		PWY-7286 // PWY-7285	RXN-14516			
RXN-8766	CARBON-DIOXIDE	EC-2.1.1.196	<a href='https://www.metanetx.org/equa_info/~A'>MNXR111359</a>		PWY-7377	RXN-8766			
RXN-16241	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119966</a>		PWY-7621	RXN-16241			
RXN-20451	CARBON-DIOXIDE	EC-2.3.1			PWY-8045	RXN-20451			
SAMDECARB-RXN	CARBON-DIOXIDE	EC-4.1.1.50	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95455</a>		PWY-6834 // ARGSPECAT-PWY	SAMDECARB-RXN			
