Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
RXN-17180	CARBON-DIOXIDE	EC-2.3.1.252	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120720</a>			RXN-17180			
RXN-10067	CARBON-DIOXIDE	EC-4.1.1.99	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113891</a>		PWY-6174	RXN-10067			
RXN-21591	CARBON-DIOXIDE	EC-4.1.1			PWY-8166	RXN-21591			
RXN-9337	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR112531</a>		PWY-5883	RXN-9337			
RXN-7481	CARBON-DIOXIDE	EC-2.3.1.220	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107512</a>		PWY-7169 // PWY-5001	RXN-7481			
2.3.1.177-RXN	CARBON-DIOXIDE	EC-2.3.1.177	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113036</a>		PWY-7739	2.3.1.177-RXN			
RXN-22821	CARBON-DIOXIDE	EC-1.3.3.17				RXN-22821			
RXN-11276	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116825</a>		PWY-6437	RXN-11276			
RXN-20180	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20180			
RXN-13939	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR112463</a>	T	3.1.1.82-RXN	RXN-13939			
RXN-17268	CARBON-DIOXIDE	EC-4.1.1.M4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120796</a>			RXN-17268			
RXN-17266	CARBON-DIOXIDE	EC-4.1.1.M4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120794</a>		PWY-7741	RXN-17266			
RXN-17262	CARBON-DIOXIDE	EC-4.1.1.M4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120790</a>		PWY-7742	RXN-17262			
RXN-17264	CARBON-DIOXIDE	EC-4.1.1.M4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120792</a>		PWY-7742	RXN-17264			
RXN1G-181	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123496</a>		PWYG-321	RXN1G-181			
RXN-7859	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR122064</a>	T	PWY-5140	RXN-7859			
RXN-7858	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR122063</a>	T	PWY-5140	RXN-7858			
RXN0-5222	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR96481</a>	T	PWY0-1471 // PWY-5703 // PWY-5169 // PWY-8025 // ALLOPHANATE-HYDROLASE-RXN // PWY0-41 // CITRULLINE-DEG-PWY // CYANCAT-PWY // RXN-12895 // RXN-12894 // RXN-12893	RXN0-5222			
RXN-21085	CARBON-DIOXIDE	EC-3.5.1.137			PWY-8111	RXN-21085			
RXN-22229	CARBON-DIOXIDE	EC-3.5.1.137			PWY-8288	RXN-22229			
RXN-14638	CARBON-DIOXIDE	EC-3.13.1.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113869</a>			RXN-14638			
1.2.7.4-RXN	CARBON-DIOXIDE	EC-1.2.7.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114963</a>		RXN-12907 // RXN-22569 // RXN-22566 // CODH-PWY // PWY-7784 // PWY-6780 // PWY-5372 // METH-ACETATE-PWY // CDHMSARC-RXN	1.2.7.4-RXN			
RXN-17357	CARBON-DIOXIDE	EC-1.2.5.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120864</a>		PWY-7750	RXN-17357			
RXN-12907	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117797</a>			RXN-12907			
RXN-21452	CARBON-DIOXIDE	EC-1.2.5.3				RXN-21452			
RXN-1901	CARBON-DIOXIDE	EC-3.13.1.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113866</a>		PWY-7926 // PWY-743 // RXN-14638 // PWY-5336 // PWY-1164	RXN-1901			
RXN-9380	CARBON-DIOXIDE	EC-4.1.1.96	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112526</a>		PWY-6562	RXN-9380			
RXN-10828	CARBON-DIOXIDE	EC-2.7.8.23	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112361</a>		PWY-7769 // PWY-6322	RXN-10828			
RXN-11564	CARBON-DIOXIDE	EC-4.1.1.96	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96935</a>		PWY-6559	RXN-11564			
RXN-21372	CARBON-DIOXIDE	EC-3.5.1.M21 // EC-3.5.1.M20				RXN-21372			
RXN-17429	CARBON-DIOXIDE	EC-3.1.1.100	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120908</a>		PWY-7760	RXN-17429			
RXN-21365	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21365			
RXN-10924	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR139848</a>		PWY-6345 // PWY-6346	RXN-10924			
RXN-803	CARBON-DIOXIDE	EC-4.1.1.102	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114372</a>			RXN-803			
1.3.1.67-RXN	CARBON-DIOXIDE	EC-1.3.1.67	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114970</a>			1.3.1.67-RXN			
ACONITATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107402</a>		PWY-5750	ACONITATE-DECARBOXYLASE-RXN			
TRANS-RXN0-545	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR96810</a>	T		TRANS-RXN0-545			
RXN-8152	CARBON-DIOXIDE	EC-1.14.11.32	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112826</a>		PWY-5270	RXN-8152			
RXN-3361	CARBON-DIOXIDE	EC-1.13.12.13	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121667</a>			RXN-3361			
WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.8	<a href='https://www.metanetx.org/equa_info/~A'>MNXR124099</a>			WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN			
RXN-18873	CARBON-DIOXIDE				WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7916	RXN-18873			
RXN0-1461	CARBON-DIOXIDE	EC-1.3.3.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96880</a>		HEME-BIOSYNTHESIS-II-1	RXN0-1461			
RXN-12893	CARBON-DIOXIDE	EC-4.2.1.104	<a href='https://www.metanetx.org/equa_info/~A'>MNXR138188</a>			RXN-12893			
R524-RXN	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR139204</a>		CYANCAT-PWY // RXN-12893	R524-RXN			
RXN-16976	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120549</a>		PWY-7704	RXN-16976			
CYPRIDINA-LUCIFERIN-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115793</a>			CYPRIDINA-LUCIFERIN-2-MONOOXYGENASE-RXN			
4.1.1.84-RXN	CARBON-DIOXIDE	EC-4.1.1.84	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110985</a>			4.1.1.84-RXN			
1.13.12.7-RXN	CARBON-DIOXIDE	EC-1.13.12.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114915</a>			1.13.12.7-RXN			
6PGLUCONDEHYDROG-RXN	CARBON-DIOXIDE	EC-1.1.1.351	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115649</a>		P122-PWY	6PGLUCONDEHYDROG-RXN			
RXN-3341	CARBON-DIOXIDE	EC-1.1.1.343	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113581</a>		RUMP-PWY	RXN-3341			
RXN-9952	CARBON-DIOXIDE	EC-1.1.1.44	<a href='https://www.metanetx.org/equa_info/~A'>MNXR100389</a>		OXIDATIVEPENT-PWY	RXN-9952			
RXN-20176	CARBON-DIOXIDE	EC-4.1.1.116				RXN-20176			
RXN-20175	CARBON-DIOXIDE	EC-4.1.1.116				RXN-20175			
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	CARBON-DIOXIDE	EC-1.1.1.286 // EC-1.1.1.41	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115984</a>		PWY-6549 // PWY-5690 // PWY66-398	ISOCITRATE-DEHYDROGENASE-NAD+-RXN			
ISOCITDEH-RXN	CARBON-DIOXIDE	EC-1.1.1.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115983</a>		P23-PWY // PWY-6549 // P105-PWY // PWY-6969 // PWY-7254 // PWY-5913 // PWY-6728 // TCA // PWY-7268 // PWY-7124 // FERMENTATION-PWY // REDCITCYC	ISOCITDEH-RXN			
1.14.11.26-RXN	CARBON-DIOXIDE	EC-1.14.11.26	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109405</a>		PWY-5631	1.14.11.26-RXN			
1.14.11.20-RXN	CARBON-DIOXIDE	EC-1.14.11.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109891</a>		PWY-5292	1.14.11.20-RXN			
RXN-16243	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119968</a>			RXN-16243			
RXN-20187	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20187			
RXN-16977	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120550</a>		PWY-7704	RXN-16977			
RXN-22114	CARBON-DIOXIDE				PWY-8216	RXN-22114			
RXN-11722	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117120</a>		PWY-6627	RXN-11722			
RXN-7857	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR122062</a>	T	PWY-5140	RXN-7857			
1.14.11.21-RXN	CARBON-DIOXIDE	EC-1.14.11.21	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109608</a>		PWY-5679	1.14.11.21-RXN			
RXN-13345	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR114433</a>	T	PWY-7040	RXN-13345			
RXN-6685	CARBON-DIOXIDE	EC-1.14.11.59	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121872</a>		PWY-6950	RXN-6685			
RXN-10845	CARBON-DIOXIDE	EC-1.13.12.17	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112984</a>		PWY-6324	RXN-10845			
RXN-11468	CARBON-DIOXIDE	EC-2.3.1.74	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116965</a>		PWY-7897 // PWY-6515	RXN-11468			
RXN-6267	CARBON-DIOXIDE	EC-1.14.11.21	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109611</a>		PWY-5679	RXN-6267			
RXN-19528	CARBON-DIOXIDE	EC-1.13.12.M3				RXN-19528			
DIHYDROXYFUMARATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.54	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139172</a>			DIHYDROXYFUMARATE-DECARBOXYLASE-RXN			
RXN-20783	CARBON-DIOXIDE	EC-1.14.11.M27			PWY-8076	RXN-20783			
RXN-20926	CARBON-DIOXIDE					RXN-20926			
RXN-21366	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21366			
RXN-20188	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20188			
3.5.1.29-RXN	CARBON-DIOXIDE	EC-3.5.1.29	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107106</a>		PWY-5499	3.5.1.29-RXN			
RXN-18394	CARBON-DIOXIDE	EC-1.14.11.55				RXN-18394			
RXN-21383	CARBON-DIOXIDE			T	4.1.1.78-RXN	RXN-21383			
RXN-17519	CARBON-DIOXIDE	EC-1.3.98.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120970</a>			RXN-17519			
RXN-19755	CARBON-DIOXIDE				PWY-7766 // RXN-17519	RXN-19755			
